Internal ID,Vendor ID,SMILES,CollectionName,h_ppb
Mol1,317714313,CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nn2c(C(=O)N[C@@H]3C[C@@H]3F)cnc12,emolecules,0.991226076
Mol2,324056965,CCOc1cc2nn(CCC(C)(C)O)cc2cc1NC(=O)c1cccc(C(F)F)n1,emolecules,0.099680641
Mol3,304005766,CN(c1ncc(F)cn1)[C@H]1CCCNC1,emolecules,2.0
Mol4,194963090,CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O,emolecules,-1.158015195
Mol5,324059015,CC(C)(O)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1,emolecules,1.015611205
Mol6,316230505,CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,emolecules,0.163856803
Mol8,538570,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,emolecules,-0.91721463
Mol9,EN300-97039,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,enamineBB_pmc,0.62603
Mol10,44811418,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,emolecules,-1.384078213
Mol11,43216036,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,emolecules,1.378597739
Mol12,2171363,COc1ccc(S(=O)(=O)N2CCC(N3CCC(C)CC3)CC2)cc1,emolecules,1.729799023
Mol13,36366966,CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,emolecules,-0.449771647
Mol15,44811754,Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12,emolecules,-1.22184875
Mol16,300112437,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,emolecules,1.730984039
Mol18,44507857,CCCc1cc(N2CCc3c(nc(C4CC4)n3C)C2)n2ncnc2n1,emolecules,1.677187053
Mol19,194974866,Fc1ccc(-c2ccc3c(c2)[nH]c2ccncc23)cn1,emolecules,0.653405491
Mol20,76751123,Nc1c(F)ccc2cnc(-n3ccc4ccncc43)cc12,emolecules,0.713910354
Mol21,106663882,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,emolecules,1.828227965
Mol22,271384825,Cn1cc(Nc2nccc(N3CC4CCC(C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,emolecules,1.642995934
Mol23,316756775,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,emolecules,1.186566481
Mol24,114309331,C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,emolecules,0.752995432
Mol25,53744933,Nc1n[nH]cc1-c1cc(Cl)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,emolecules,-0.354577731
Mol26,207623013,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,emolecules,0.436162647
Mol27,324038090,Cn1cc(-c2cn3nccc3c(-c3cnn([C@]4(CC#N)C[C@@H](C#N)C4)c3)n2)cn1,emolecules,1.559583476
Mol29,316162153,O=C(c1ccc(Oc2ccccc2)cc1Cl)c1c[nH]c2ncnc(N[C@@H]3CC[C@@H](CO)OC3)c12,emolecules,-0.467245621
Mol30,36557633,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,emolecules,0.630986911
Mol31,1447149,CC(C)(C)c1ccc(-c2nc3n(c(=O)c2C#N)CCS3)cc1,emolecules,0.731266349
Mol32,75542235,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1,emolecules,-0.049635146
Mol33,LN01345100,CC#CC(=O)N1CC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,labnetworkBB,0.935859798
Mol34,168890455,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,emolecules,0.968996327
Mol35,68868488,C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,emolecules,0.983851719
Mol36,316276642,CC(C)(C=C(C#N)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1)N1CCN(C2COC2)CC1,emolecules,0.276231958
Mol37,324043470,CC#CC(=O)N1CC[C@@H](n2cc(-c3ccc(Oc4c(F)cccc4F)cc3)c3c(N)n[nH]c(=O)c32)C1,emolecules,-0.073143291
Mol38,93438921,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,emolecules,0.039414119
Mol39,252308493,C[C@@H]1c2nnn(-c3ncc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,emolecules,0.969089603
Mol40,32130783,COc1ccccc1-c1cc(NC(=O)c2cccc(N3CCNC3=O)c2)[nH]n1,emolecules,-0.397940009
Mol41,202119,Nc1ncc(-c2cccc(C(F)(F)F)c2)c(C2CCCCN2C(=O)c2ccccc2)n1,emolecules,-0.04431225
Mol42,110118917,O=C(Nc1cccc(-c2nncn2C2CC2)c1)c1cc(-n2cnc(C3CC3)c2)ccn1,emolecules,0.262925469
Mol43,207447,Fc1ccccc1-c1c[nH]nc1C1CCCN1Cc1ccc2ncccc2c1,emolecules,0.545801757
Mol44,313516892,Cc1nccc(-c2cn(Cc3ccccc3)c3cnccc23)n1,emolecules,1.122707254
Mol45,168892617,CCc1nc(C)cn2nc(-c3cc(=O)n4cc(C5CCN(C)CC5)cc(C)c4n3)cc12,emolecules,0.868232868
Mol46,313548577,Cc1c(Cl)ccc2cc3n(c12)[C@@H](C)CNC3=O,emolecules,0.328379603
Mol47,49863827,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2[C@@H]1CCCNC1,emolecules,0.956648579
Mol48,53790787,Cc1nnc(CN(C)CC(C)Oc2ccc(Cl)c(Cl)c2)n1C,emolecules,0.926290987
Mol49,45816980,COc1nn(C)cc1C(=O)Nc1cccc(-c2cnc3n2CCC3)c1,emolecules,0.866877814
Mol50,89942308,COc1cc(F)ccc1-c1ncnc(Nc2cccc(C[S@@](C)(=N)=O)c2)n1,emolecules,1.594922663
Mol51,48239418,Cc1ncc(CN2CC[C@@H](Nc3cncc(Cl)n3)[C@@H](C)C2)s1,emolecules,1.205461507
Mol52,139133,Cc1ccc(C(=O)N2CCC(Cc3ccccc3-c3ccccc3)(C(=O)N(C)C)CC2)s1,emolecules,-0.293282218
Mol53,89942282,CCc1nc2c(C)cc(N3CCN(CC(=O)N4CC(O)C4)CC3)cn2c1N(C)c1nc(-c2ccc(F)cc2)c(C#N)s1,emolecules,-0.204728421
Mol54,28294753,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,emolecules,1.991815076
Mol55,139117,CN(C)C(=O)C1(Cc2ccccc2-c2ccccc2)CCN(C(=O)C2CCCO2)CC1,emolecules,0.902546779
Mol56,202525,CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2ccc(Cl)cc2)cc1,emolecules,0.596926814
Mol57,202527,CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2cccc(Cl)c2)cc1,emolecules,0.520483533
Mol58,31929526,O=C1CN(c2ccc(Nc3nccc(C(F)(F)F)n3)cn2)CCN1,emolecules,1.543819805
Mol59,189638257,O=C1NCCN(C(=O)c2ccc3nccn3c2)C1c1ccccc1C(F)(F)F,emolecules,1.851001366
Mol60,189741166,Cc1cc(F)ccc1C1C(=O)NCCN1C(=O)c1ccc2nccn2c1,emolecules,1.78096503
Mol61,49311027,O=C1NCCN(C(=O)c2ccncc2)C1c1ccccc1Cl,emolecules,1.876996793
Mol62,1284751,C[C@H]1CN(C(=O)CC(c2ccccc2)c2ccccc2)C[C@@H](C)O1,emolecules,1.188253327
Mol63,299989682,CN1[C@H]2CC[C@@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,emolecules,1.106122874
Mol64,140075,CC(C)(C)C(=O)N1CCC(Cc2ccc(-c3cccs3)cc2)(C(=O)N2CCCC2)CC1,emolecules,-0.1837587
Mol65,49901113,OC[C@H](Nc1cncc(-c2ccc3[nH]ncc3n2)c1)c1ccccc1,emolecules,1.017826038
Mol66,200967,Cc1ncsc1C(=O)N1CCCCC1c1nc(N(C)C)ncc1-c1cccc(Cl)c1,emolecules,-0.083019953
Mol67,32236728,OCC1CCCCN1Cc1ccc(Cl)c(Cl)c1,emolecules,1.390069186
Mol68,48337674,CC(=O)N1CCN(c2nc(C(F)(F)F)nc3sc(C)c(C)c23)CC1,emolecules,0.13481437
Mol69,180601629,COc1ccccc1C(=O)Nc1ccc2cc[nH]c2c1,emolecules,0.505149978
Mol70,17268136,c1ccc(Oc2cccc(CN(CCN3CCOCC3)Cc3cccnc3)c2)cc1,emolecules,-0.222573178
Mol71,32449297,COc1ccc([C@H]2CN(C(C)=O)[C@@H]3CCCN(Cc4cccc(F)c4)[C@H]23)cc1,emolecules,0.595385981
Mol72,324071118,Cc1c(C(=O)NCCCN(C)C)sc2ncnc(Nc3ccc(F)cc3OC(C)C)c12,emolecules,0.741821047
Mol73,2066408,OCC1CCCCN1Cc1ccc(-c2ccccc2)cc1,emolecules,1.368007805
Mol74,89942016,Nc1ncc(C(=O)NC2CN(C(=O)C3CC3)C2)c2ccc(-c3cccc(F)c3)nc12,emolecules,0.623352682
Mol75,72973189,CC1(C)CC(Oc2ccc(-c3ccc(-c4cn[nH]c4)cc3O)nn2)CC(C)(C)N1,emolecules,1.199947058
Mol76,32234428,Cc1nnc(-c2ccc3occ(-c4ccc(S(C)=O)cc4)c3c2)o1,emolecules,0.193402903
Mol77,202517,Cc1ncsc1C(=O)N1CCCCC1c1nc(N)ncc1-c1cccc(C(F)(F)F)c1,emolecules,0.615318657
Mol78,45636709,O=C(Nc1ccc2ccccc2n1)c1ccc(N2CCOC2=O)cc1,emolecules,0.449015316
Mol79,104447483,O=C(CCNC(=O)c1ccc(OC(F)(F)F)cc1)N[C@@H]1CCCc2ccccc21,emolecules,0.526080692
Mol80,300003450,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,emolecules,1.892077899
Mol81,317744209,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccoc23)c1,emolecules,0.146128036
Mol82,13329354,CCN1CCN(S(=O)(=O)Cc2ccc(Cl)c(Cl)c2)CC1,emolecules,1.249124949
Mol83,49837463,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,emolecules,1.681349797
Mol84,316273071,CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)c1=O,emolecules,0.975753389
Mol85,49259954,CCN(C/C=C\c1ccc(C2CCCCC2)c(Cl)c1)C1CCCCC1,emolecules,-0.853871964
Mol86,317503340,NCCN1CCN(C/C=C/C(=O)N2CCC[C@@H](n3nc(-c4ccc(Oc5ccccc5)cc4)c4c(N)ncnc43)C2)CC1,emolecules,0.699837726
Mol87,44507855,Cn1c(C2CC2)nc2c1CCN(c1ncnc3ccsc13)C2,emolecules,1.237065953
Mol88,LN00198968,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,labnetworkBB,-0.580044252
Mol89,319760048,COc1nn(C)cc1C(=O)Nc1cccc2cnccc12,emolecules,1.504729052
Mol90,393556,CNC(=O)C1(Cc2ccc(-c3ccncc3)cc2)CCN(Cc2cccc(F)c2)C1,emolecules,1.10503305
Mol91,42902190,Cc1ncc(CN2CCC(Nc3ccc4nnnn4n3)C(C)C2)s1,emolecules,1.652285029
Mol92,210343,Cc1nc(Nc2nccs2)cc(C2CN(c3ncccn3)C2)n1,emolecules,0.444669231
Mol93,32538596,COc1ccc(Nc2c(C#N)cnc3cc(OC)c(OC)cc23)cc1Cl,emolecules,-0.033858267
Mol94,50614392,COc1ccc(CCCN2CCN(c3cnn(C)c3)C(=O)C2)cc1F,emolecules,1.343408594
Mol95,36933671,Cc1noc(C(C)C)c1C(=O)N1CC(C)OC(c2ccccc2)C1,emolecules,1.180469962
Mol96,31246617,CN(Cc1ccccc1)C1(C(=O)N2CCNC(=O)CC2)Cc2ccccc2C1,emolecules,0.904931827
Mol97,43278877,Cc1c(F)cccc1NC(=O)CN1[C@H]2CCCC(=O)N[C@@]2(C)C[C@H]1Cc1ccccc1,emolecules,0.595275712
Mol98,901943,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,emolecules,-1.180456064
Mol99,300011391,O=S(=O)(c1cccc2c(O)nccc12)N1CCCNCC1,emolecules,1.850223373
Mol100,43280049,Cc1ccc(NC(=O)CN2[C@H]3CCCC(=O)N[C@@]3(C)C[C@H]2Cc2ccccc2)cc1F,emolecules,-0.137272472
Mol101,139303,CN(C)C(=O)C1(Cc2ccccc2-c2cccc(F)c2)CCN(C(=O)C2CC=CCC2)CC1,emolecules,-0.104025268
Mol102,139341,COCC(=O)N1CCC(Cc2ccccc2-c2cccc(F)c2)(C(=O)NC(C)C)CC1,emolecules,0.596597096
Mol103,29261445,COc1ccc(CNC(=O)c2sc3nc(C)cc(C)c3c2N)cc1,emolecules,-0.356547324
Mol104,324007832,C#C[C@@](C)(CC)NC(=O)c1cc(F)cnc1NC1CC(F)(F)C1,emolecules,0.671265433
Mol105,320364216,Cn1cc(Nc2nc(N)nc(-c3cccc(-n4ccc5cc(C6CC6)cc(F)c5c4=O)c3CO)n2)cn1,emolecules,0.850401148
Mol106,496510,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,emolecules,0.01745073
Mol107,393408,CNC(=O)C1(Cc2ccc(-c3cccnc3)cc2)CCN(Cc2ccc(F)cc2)C1,emolecules,1.021602716
Mol108,393424,CNC(=O)C1(Cc2ccc(-c3cccnc3)cc2)CCN(Cc2cccc(F)c2)C1,emolecules,0.829753919
Mol109,182435411,CC(=O)Nc1ncc(CN2CCCC[C@@H]2C)s1,emolecules,2.0
Mol110,270775,O=C1CCCC[C@@H]2[C@H](C[C@@H](Cc3ccccc3F)N2C(=O)c2cccc3ncccc23)N1,emolecules,1.277998644
Mol111,MCULE-3611790330,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,mcule,0.106870544
Mol112,323968411,CC(O)(C#Cc1ccc2c(c1)N(c1nc(N)ncc1Cl)CC2)c1nccs1,emolecules,-0.122628654
Mol113,46088801,COCCc1noc(CN2CC(c3ccccc3)(c3ccccc3)CCC2=O)n1,emolecules,1.167051359
Mol114,44392699,Cc1[nH]nc2c1C1(CCCCC1)CC(=O)N2,emolecules,1.323066376
Mol115,49942166,Cc1oc2ccccc2c1CNc1nnc(-c2ccncc2)o1,emolecules,0.717254313
Mol116,4768067,O=C(Nc1cccc2ncccc12)[C@H]1CCCN(S(=O)(=O)c2ccccc2)C1,emolecules,1.222560409
Mol117,11002413,C[C@@H]1Cc2ccccc2N1C(=O)Cn1nc(-c2cccc3ncccc23)oc1=O,emolecules,0.224014811
Mol118,29371307,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,emolecules,0.862608364
Mol119,320368312,O=C(Nc1cnccc1-c1ccc(Cl)cc1)c1ccnc(NC(=O)C2CC2)c1,emolecules,0.369957607
Mol120,89942274,CN1C(N)=N[C@](C)(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)CS1(=O)=O,emolecules,1.560468571
Mol121,44550372,CC1CN(C(=O)c2cccnc2N2CCOCC2)CC(c2ccccc2)O1,emolecules,1.573185017
Mol122,511449,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,emolecules,0.439332694
Mol123,197915,Cc1cc(Nc2cnccn2)cc(C2CCCN(CC(=O)N3CCCC3)C2)n1,emolecules,1.642246824
Mol124,198953,Cc1cccnc1Nc1cccc(C2CCCN(CC(=O)Nc3nccs3)C2)n1,emolecules,0.180699201
Mol125,139135,CN(C)C(=O)C1(Cc2ccccc2-c2ccccc2)CCN(C(=O)c2cnn(C)c2)CC1,emolecules,1.041353202
Mol126,2566233,CC1(C)CC(=O)C2=C(C1)NC(=O)CC2c1ccc(Br)cc1,emolecules,1.159236233
Mol127,49383448,CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cccnc4)n3)cc2)CC1,emolecules,1.078638038
Mol128,393410,CNC(=O)C1(Cc2ccc(-c3cccnc3)cc2)CCN(Cc2ccccc2Cl)C1,emolecules,0.387567779
Mol129,176509,Cc1cc(N2CCCC2c2cc(CCC(=O)O)cc(C)n2)ncn1,emolecules,2.0
Mol130,535781,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,emolecules,0.969835093
Mol131,150211,O=C(CN1CCCC(c2cccc(Cc3cccc(F)c3)n2)C1)N1CCCC1,emolecules,1.062130535
Mol132,32232846,COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC,emolecules,0.994317153
Mol133,6795908,Cc1cc(C)c2c(N)c(C(=O)NCc3ccc(Cl)cc3)sc2n1,emolecules,-0.370590401
Mol134,215355,COCCNC(=O)c1ccnc(C2CCNCC2)c1,emolecules,2.0
Mol135,28305598,COc1nc2sc(C(=O)NC3CC3)c(N)c2c(C)c1Cl,emolecules,0.245512668
Mol136,175109,CC1(CNC(=O)c2cncc(C3CCNCC3)n2)CCCO1,emolecules,1.988550039
Mol137,174073,Cc1cc(N2CCCC2)nc(C2CCCN(C)C2)n1,emolecules,2.0
Mol138,31507508,O=C1NCCSc2c1sc1ccc(O)cc21,emolecules,0.891593204
Mol139,170739766,CCn1cc(C(=O)O)c(=O)c2c(N)c(F)c(NC3CCCCC3)cc21,emolecules,0.427486109
Mol157,104336645,C[C@H]1CN(C2COC2)CCN1c1ccc(Nc2cc(-c3ccnc(N4CCn5c(cc6c5CC(C)(C)C6)C4=O)c3CO)cn(C)c2=O)nc1,emolecules,1.209139536
Mol161,49424084,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Oc4ccnc(C(=O)NC)c4)cc3)ncc2F)c1,emolecules,-0.403402904
Mol162,320405235,C=CC(=O)N(C)CCOc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C,emolecules,0.838502776
Mol163,72972951,CC#CC(=O)N1CCC[C@@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,emolecules,0.975868182
Mol165,313519451,CC(=O)NCCNc1cc(Cl)nn2c(-c3cccc(S(=O)(=O)N(C)C)c3)c(C)nc12,emolecules,0.681693392
Mol166,35732653,Cc1c[nH]c(=O)n1-c1ccc(C(=O)Nc2ccc3ccccc3n2)cc1,emolecules,0.639386869
Mol167,42768719,CNC(=O)c1cccc(NC(=O)N2CCC(Oc3ccccc3Cl)CC2)c1,emolecules,1.068760828
Mol168,11480017,COc1ccc(OCC(=O)Nc2cccc(Cl)c2N2CCN(C(C)=O)CC2)cc1,emolecules,0.700790221
Mol169,2057338,c1ccc(-c2ccc(CN3CCCCCCC3)cc2)cc1,emolecules,-0.614393726
Mol170,11480019,CC(=O)N1CCN(c2c(Cl)cccc2NC(=O)COc2ccccc2Cl)CC1,emolecules,0.256958153
Mol171,1525474,CCC(=O)N1CCN(c2ccc(Cl)cc2NC(=O)COc2ccccc2)CC1,emolecules,0.250420002
Mol172,44014989,Cc1ccc(Oc2ccc(Cl)cc2NC(=O)CN(C)CC(=O)N(C)C)cc1,emolecules,-0.053056729
Mol3057,324053897,CC1(C)Cc2cc(NC(=O)c3cnn4cccnc34)c(OCC3CC3)nc2O1,emolecules,-0.199970641
Mol3058,324071116,N#Cc1cc(F)c(NS(=O)(=O)c2c[nH]c3cc(Cl)ccc23)cc1F,emolecules,-0.026872146
Mol3063,104664531,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(O)c5cccc(OC)c5nc34)cc1)CC2,emolecules,-1.207608311
Mol3067,15987806,CCCc1nc2nc(C)c(NS(=O)(=O)c3ccc(C4CCCCC4)cc3)c(O)n2n1,emolecules,-0.218963061
Mol3068,316754033,COc1ccc([C@H]2c3[nH]c4ccc(Cl)cc4c3CCN2C(=O)Oc2ccc(Cl)cc2)cc1,emolecules,1.51293775
Mol3069,139727,NC(=O)C1(Cc2ccc(-c3ccncc3)cc2)CCN(C(=O)Cc2cccc(F)c2)CC1,emolecules,1.006508828
Mol3070,474380,CC(=O)Nc1ccc(O)cc1,emolecules,1.887859133
Mol3071,301492332,O=C(NC1CCNCC1)c1ccc2[nH]ncc2c1,emolecules,1.842696589
Mol3072,36367041,Cc1cccc(/C=N/Nc2cc(N3CCOCC3)nc(OCCc3ccccn3)n2)c1,emolecules,-0.548213564
Mol3073,30599464,CCn1c(=O)oc2cc(NC(=O)c3ccc(C(C)(C)C)cc3)ccc21,emolecules,0.21005085
Mol3074,16382857,COc1ccc(OC[C@@H]2c3cc(OC)c(OC)cc3CCN2C(=O)c2cccc(Cl)c2)cc1,emolecules,-0.116906641
Mol3075,320359100,N#Cc1ccc(COc2cccc(C3CCN(Cc4nc5ccc(C(=O)O)cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,emolecules,0.402433346
Mol3076,8318595,CC(C)[C@H](CO)Nc1nc(Nc2cc(N)cc(Cl)c2)c2ncn(C(C)C)c2n1,emolecules,-0.061980903
Mol3077,315259678,O=C(NC1CCNCC1)c1ccc2cn[nH]c2c1,emolecules,2.0
Mol3078,26418448,CC(C)(C)OC(=O)N1CCCC1C(=O)N1CCC(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)O)CC1,emolecules,1.691832676
Mol3079,1988603,O=C(Nc1cccc2c(=O)cc(-c3nnn[nH]3)oc12)c1ccc(OCCCCc2ccccc2)cc1,emolecules,0.582744966
Mol3080,28220722,CC(=O)Nc1ncc(C(=O)O)s1,emolecules,1.81935965
Mol3081,317459301,Cc1cccc(-c2nc(C34CCC(C(N)=O)(CC3)CC4)[nH]c2-c2ccc3c(c2)OCO3)n1,emolecules,1.02011257
Mol3082,44811278,COc1cc2nc(-c3cc(F)ccc3O)nc(N[C@@H]3CNC[C@H]3C(C)(C)O)c2cc1OC.Cl,emolecules,-1.119186408
Mol3083,50406362,CC(C)[C@@](C)(O)[C@@H]1CN(c2nc(-c3n[nH]c4ncccc34)c(F)cc2Cl)CCN1,emolecules,1.302460808
Mol3086,25041311,Cc1nnc(-c2ccc(N3CCC(Oc4cc(F)ccc4Cl)CC3)nn2)o1,emolecules,0.161068385
Mol3091,313833267,Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1,emolecules,0.985246791
Mol3092,32176418,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,emolecules,-1.59345982
Mol3093,171948773,Cc1ccc(OCC2(O)CCN(CC3(O)CCN(c4ccccc4C)CC3)CC2)cc1,emolecules,-0.040481623
Mol3094,301693590,CN(C(=O)c1cc(N2CCNC2=O)ccc1F)C1CCNC1,emolecules,1.885728632
Mol3095,316928211,O=C(Nc1cccc(N2CCNC2=O)c1)C1NCC12CCCC2,emolecules,1.718202645
Mol3096,301758325,NCC1CCCC1NC(=O)c1cc(N2CCNC2=O)ccc1F,emolecules,1.87495702
Mol3097,316875519,Cn1c(-c2n[nH]c3c2CCCC3)nnc1N1CCC2(CNC(=O)C2)C1,emolecules,1.792986685
Mol3098,317964046,Cc1nnc(-c2ccc(N3CCC(Oc4ccccc4C(F)(F)F)CC3)nn2)s1,emolecules,-0.906578315
Mol3099,17464371,O=C(NCCc1ccccc1)c1ccc(NC(=O)N2CCCCc3ccccc32)cc1,emolecules,0.075911761
Mol3100,24880306,CC(C)(C)c1ccc(C(O)CN2CCC(O)(c3ccc4c(c3)OCO4)CC2)cc1,emolecules,0.779018972
Mol3101,302506948,NC[C@H]1CC[C@@H](C(=O)Nc2ccc3[nH]ncc3c2)O1,emolecules,1.981999714
Mol3102,301817626,CN(C(=O)c1cc(N2CCNC2=O)ccc1F)C1CCC(N)CC1,emolecules,1.828717885
Mol3103,301949755,NC1CCCC1C(=O)N1CCC(c2c[nH]c3ncccc23)CC1,emolecules,1.71701274
Mol3104,MCULE-9833651829,NC1CCCC(C(=O)Nc2ccc3[nH]ncc3c2)C1,mcule,2.0
Mol3105,316789943,NC1CC(NC(=O)c2ccc(-c3cn[nH]c3)cn2)C12CCC2,emolecules,1.709702344
Mol3106,Z2380426119,NC1CCC(C(=O)N2CCC(c3c[nH]c4ncccc34)CC2)C1,enamineHTS,1.917395215
Mol3107,301949756,NC1CCCC(C(=O)N2CCC(c3c[nH]c4ncccc34)CC2)C1,emolecules,1.752816431
Mol3108,316779701,O=C(NC12CCCC1NCC2)c1ccc(-c2cn[nH]c2)cc1,emolecules,2.0
Mol3109,316786090,Cc1nc2cc(C(=O)NC34CCCC3NCC4)ccc2c(=O)[nH]1,emolecules,1.866494097
Mol3110,73014754,CNc1nc(C)cc(C(=O)Nc2ccc3[nH]ncc3c2)n1,emolecules,1.493625323
Mol3111,316949638,O=C(Nc1ccc(CN2CCCCC2)cc1)c1ccnc2[nH]cnc12,emolecules,1.767526899
Mol3112,316977624,CCc1c[nH]c2ncnc(N3CCC(CN4CCN(C)CC4)CC3)c12,emolecules,1.728012707
Mol3113,36987396,NC(=O)c1cnc(N2CCc3[nH]nc(C(F)(F)F)c3C2)c(Cl)c1,emolecules,0.986009932
Mol3114,MCULE-4852587261,NC1CCCC(C(=O)Nc2cccc(N3CCNC3=O)c2)C1,mcule,1.763113391
Mol3115,301928950,CC1CC(N)CCN1C(=O)c1cc(N2CCNC2=O)c(F)cc1F,emolecules,1.833504094
Mol3116,3615737,c1sc(NCC2CCCO2)nc1C12CC3CC(CC(C3)C1)C2,emolecules,-1.096910013
